        Date        ecHMS_Angle ecSHMS_Angle
2018-01-15 10:36:31        25.5        29.99
2018-01-15 10:36:32       25.48        29.99
2018-01-15 10:36:34       25.47        29.99
2018-01-15 10:36:35       25.45        29.99
2018-01-15 10:36:38       25.43        29.99
2018-01-15 10:36:40       25.41        29.99
2018-01-15 10:36:43       25.39        29.99
2018-01-15 10:36:44       25.38        29.99
2018-01-15 10:36:45       25.36        29.99
2018-01-15 10:36:48       25.34        29.99
2018-01-15 10:36:50       25.32        29.99
2018-01-15 10:36:52        25.3        29.99
2018-01-15 10:36:53       25.29        29.99
2018-01-15 10:36:55       25.27        29.99
2018-01-15 10:36:57       25.25        29.99
2018-01-15 10:37:00       25.22        29.99
2018-01-15 10:37:03        25.2        29.99
2018-01-15 10:37:06       25.18        29.99
2018-01-15 10:37:11       25.16        29.99
2018-01-15 10:37:15       25.14        29.99
2018-01-15 10:37:17       25.13        29.99
2018-01-15 10:37:22       25.11        29.99
2018-01-15 10:37:26       25.09        29.99
2018-01-15 10:37:30       25.07        29.99
2018-01-15 10:37:35       25.05        29.99
2018-01-15 10:37:37       25.04        29.99
2018-01-15 10:37:41       25.02        29.99
2018-01-15 10:37:45          25        29.99
2018-01-15 10:38:38          25        29.98
2018-01-15 10:38:39          25        29.97
2018-01-15 10:38:40          25        29.95
2018-01-15 10:38:42          25        29.93
2018-01-15 10:38:43          25        29.91
2018-01-15 10:38:44          25        29.88
2018-01-15 10:38:45          25        29.86
2018-01-15 10:38:46          25        29.84
2018-01-15 10:38:47          25         29.8
2018-01-15 10:38:48          25        29.78
2018-01-15 10:38:49          25        29.75
2018-01-15 10:38:50          25        29.72
2018-01-15 10:38:51          25        29.69
2018-01-15 10:38:52          25        29.65
2018-01-15 10:38:53          25        29.61
2018-01-15 10:38:54          25        29.58
2018-01-15 10:38:55          25        29.53
2018-01-15 10:38:56          25        29.49
2018-01-15 10:38:57          25        29.46
2018-01-15 10:38:58          25        29.41
2018-01-15 10:38:59          25        29.36
2018-01-15 10:39:00          25        29.32
2018-01-15 10:39:01          25        29.27
2018-01-15 10:39:02          25        29.22
2018-01-15 10:39:03          25        29.17
